index,date,amount,merchant,description,receipt_url,has_receipt,gemini_verdict,llama_verdict,llava_verdict,final_status
38,2024-07-17,$5.00,LAZ PARKING M32810,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/laz_parking_m32810_2024-07-17_5_0.jpg,Yes,RATE_LIMITED,,MISMATCH,MISMATCH
42,2024-07-19,$1487.80,AUDREY - SEAN BROCK GROU,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/audrey_sean_brock_grou_2024-07-19_1487_8.jpg,Yes,RATE_LIMITED,MISMATCH,,MISMATCH
44,2024-07-22,$54.86,APPLE.COM/BILL,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/applecombill_2024-07-22_54_86.jpg,Yes,RATE_LIMITED,ERROR,MISMATCH,MISMATCH
76,2024-08-06,$18.10,SH NASHVILLE - OTHER,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/sh_nashville_other_2024-08-06_18_1.jpg,Yes,RATE_LIMITED,MISMATCH,,MISMATCH
77,2024-08-06,$84.20,TST*HOMEGROWN TAPROOM &AMP;,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/tsthomegrown_taproom_amp_2024-08-06_84_2.jpg,Yes,RATE_LIMITED,MISMATCH,,MISMATCH
89,2024-08-13,$58.21,O-KU NASHVILLE,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/o_ku_nashville_2024-08-13_58_21.jpeg,Yes,RATE_LIMITED,MISMATCH,,MISMATCH
90,2024-08-13,$44.32,OPTIMIST NASHVILLE,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/optimist_nashville_2024-08-13_44_32_3.jpg,Yes,RATE_LIMITED,MISMATCH,,MISMATCH
91,2024-08-13,$896.44,OPTIMIST NASHVILLE,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/optimist_nashville_2024-08-13_896_44_3.jpg,Yes,RATE_LIMITED,MISMATCH,,MISMATCH
93,2024-08-14,$15.38,MAFIAOZAS,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/mafiaozas_2024-08-14_15_38_3.jpg,Yes,RATE_LIMITED,MISMATCH,,MISMATCH
94,2024-08-14,$10.99,METROPOLIS PARKING,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/metropolis_parking_2024-08-14_10_99_3.jpg,Yes,RATE_LIMITED,MISMATCH,,MISMATCH
