index,date,amount,merchant,description,receipt_url,has_receipt,gemini_verdict,llama_verdict,final_status,gemini_confidence,notes
824,2025-11-21,$32.93,midjourney,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/receipt_198ec087021a_att1.jpg,Yes,MISMATCH,,NEEDS_REVIEW,100,"The amount matches ($32.93), and the merchant name matches (Midjourney). However, the date on the re"
832,2025-11-19,$8.00,metropolis,,,No,NO_RECEIPT,,MISSING_RECEIPT,0,No receipt attached
799,2025-11-01,$52.68,NOTION LABS INC.,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/notion_labs_inc_2025-11-01_52_68.jpg,Yes,UNCLEAR,,NEEDS_REVIEW,0,API error: 429
831,2025-10-28,$5.00,railway corporation,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/incoming/receipt_19a28cbc06ea_att0.jpg,Yes,UNCLEAR,,NEEDS_REVIEW,0,API error: 429
829,2025-10-22,$158.04,runway,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/incoming/receipt_19a0b09638e6_att0.jpg,Yes,UNCLEAR,,NEEDS_REVIEW,0,API error: 429
796,2025-10-21,$334.00,CLEAR *CLEARME.COM,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/clear_clearmecom_2025-10-21_334_0.jpg,Yes,UNCLEAR,,NEEDS_REVIEW,0,API error: 429
792,2025-10-04,$5.68,ANTHROPIC,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/anthropic_2025-10-04_5_68.png,Yes,UNCLEAR,,NEEDS_REVIEW,0,API error: 429
791,2025-10-03,$20.00,IDEOGRAM AI,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/ideogram_ai_2025-10-03_20_0.png,Yes,UNCLEAR,,NEEDS_REVIEW,0,API error: 429
830,2025-09-10,$120.00,taskade,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/incoming/receipt_199314a94cc4_att0.jpg,Yes,UNCLEAR,,NEEDS_REVIEW,0,API error: 429
786,2025-09-01,$19.76,EXPENSIFY INC.,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/expensify_inc_2025-09-01_19_76_3.jpg,Yes,VERIFIED,,VERIFIED,100,The receipt total ($19.76) matches the bank transaction amount ($19.76). The receipt date (2025-09-0
785,2025-08-30,$5.00,EVERY STUDIO,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/every_studio_2025-08-30_5_0.jpg,Yes,VERIFIED,,VERIFIED,100,"The receipt total is $5.00, the date is August 30, 2025, and the merchant is Every Studio. All match"
784,2025-08-28,$20.00,IDEOGRAM AI,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/ideogram_ai_2025-08-28_20_0.jpg,Yes,VERIFIED,,VERIFIED,100,"The receipt total is $20.00, which matches the bank transaction amount. The receipt date is August 2"
782,2025-08-26,$9.00,HUGGINGFACE,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/huggingface_2025-08-26_9_0.jpg,Yes,VERIFIED,,VERIFIED,100,"The receipt total is $9.00, which matches the bank transaction amount. The merchant name on the rece"
780,2025-08-24,$21.95,CLAUDE.AI SUBSCRIPTION,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/claudeai_subscription_2025-08-24_21_95.jpg,Yes,VERIFIED,,VERIFIED,100,"The receipt total is $21.95, matching the bank transaction amount. The receipt date is August 23, 20"
778,2025-08-16,$19.99,DAVINCI AI,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/davinci_ai_2025-08-16_19_99.jpg,Yes,VERIFIED,,VERIFIED,100,"The receipt total is $19.99, the date is August 16, 2025, and the merchant is Davinci AI. All match "
775,2025-08-14,$10.00,CLOUDFLARE,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/cloudflare_2025-08-14_10_00.jpg,Yes,MISMATCH,,NEEDS_REVIEW,100,"The receipt is from CLOUDFLARE and the merchant name matches. However, the amount is $5.00, while th"
773,2025-08-09,$40.39,PMC - PAID PARKING,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/pmc_paid_parking_2025-08-09_40_39_3.jpg,Yes,MISMATCH,,NEEDS_REVIEW,100,"The image shows a 403 error page, not a receipt. Therefore, no information can be extracted to match"
771,2025-08-08,$49.25,SODEXO AT BELMONT UNIVER,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/sodexo_at_belmont_univer_2025-08-08_49_25.jpg,Yes,UNCLEAR,,NEEDS_REVIEW,0,API error: 429
772,2025-08-08,$13.13,SPOTIFY USA,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/spotify_usa_2025-08-08_13_13_3.jpg,Yes,VERIFIED,,VERIFIED,100,The receipt total ($13.13) matches the bank transaction amount ($13.13). The receipt date (2025-08-0
766,2025-08-02,$30.16,MONGODBCLOUD BRIANS...,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/mongodbcloud_brians_2025-08-02_30_16_3.jpg,Yes,UNCLEAR,,NEEDS_REVIEW,0,API error: 429
765,2025-08-01,$19.76,EXPENSIFY INC.,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/expensify_inc_2025-08-01_19_76_3.jpg,Yes,UNCLEAR,,NEEDS_REVIEW,0,API error: 429
763,2025-07-30,$5.00,EVERY STUDIO,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/every_studio_2025-07-30_5_0.jpg,Yes,UNCLEAR,,NEEDS_REVIEW,0,API error: 429
764,2025-07-30,$20.00,VZWRLSS*PREPAID PYMNT,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/vzwrlssprepaid_pymnt_2025-07-30_20_0.jpg,Yes,UNCLEAR,,NEEDS_REVIEW,0,API error: 429
762,2025-07-28,$0.75,HIVE CO,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/hive_co_2025-07-28_0_75_3.jpg,Yes,UNCLEAR,,NEEDS_REVIEW,0,API error: 429
760,2025-07-25,$9.00,HUGGINGFACE,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/huggingface_2025-07-25_9_0.jpg,Yes,UNCLEAR,,NEEDS_REVIEW,0,API error: 429
758,2025-07-24,$21.95,CLAUDE.AI SUBSCRIPTION,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/claudeai_subscription_2025-07-24_21_95.jpg,Yes,UNCLEAR,,NEEDS_REVIEW,0,API error: 429
759,2025-07-24,$23.45,VZWRLSS*ETM SCT1456901,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/vzwrlssetm_sct1456901_2025-07-24_23_45.jpg,Yes,UNCLEAR,,NEEDS_REVIEW,0,API error: 429
757,2025-07-21,$75.56,TST*LEMONGRASS SUSHI AND,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/tstlemongrass_sushi_and_2025-07-21_75_56_3.jpg,Yes,UNCLEAR,,NEEDS_REVIEW,0,API error: 429
753,2025-07-14,$10.00,CLOUDFLARE,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/cloudflare_2025-07-14_10_0.jpg,Yes,UNCLEAR,,NEEDS_REVIEW,0,API error: 429
751,2025-07-11,$5.00,EVERY STUDIO,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/every_studio_2025-07-11_5_0.jpg,Yes,UNCLEAR,,NEEDS_REVIEW,0,API error: 429
748,2025-07-08,$37.67,MONGODBCLOUD BRIANS...,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/mongodbcloud_brians_2025-07-08_37_67_3.jpg,Yes,UNCLEAR,,NEEDS_REVIEW,0,API error: 429
749,2025-07-08,$13.13,SPOTIFY USA,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/spotify_usa_2025-07-08_13_13_3.jpg,Yes,UNCLEAR,,NEEDS_REVIEW,0,API error: 429
745,2025-07-01,$19.76,EXPENSIFY INC.,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/expensify_inc_2025-07-01_19_76_3.jpg,Yes,UNCLEAR,,NEEDS_REVIEW,0,API error: 429
744,2025-06-30,$32.93,MIDJOURNEY INC.,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/midjourney_inc_2025-06-30_32_93.jpg,Yes,UNCLEAR,,NEEDS_REVIEW,0,API error: 429
742,2025-06-27,$32.32,PMC - PAID PARKING,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/pmc_paid_parking_2025-06-27_32_32.png,Yes,UNCLEAR,,NEEDS_REVIEW,0,API error: 429
738,2025-06-24,$21.95,CLAUDE.AI SUBSCRIPTION,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/claudeai_subscription_2025-06-24_21_95.jpg,Yes,UNCLEAR,,NEEDS_REVIEW,0,API error: 429
739,2025-06-24,$9.00,HUGGINGFACE,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/huggingface_2025-06-24_9_0.jpg,Yes,UNCLEAR,,NEEDS_REVIEW,0,API error: 429
731,2025-06-14,$10.00,CLOUDFLARE,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/cloudflare_2025-06-14_10_0.jpg,Yes,UNCLEAR,,NEEDS_REVIEW,0,API error: 429
729,2025-06-13,$9.00,SOURCEGRAPH INC,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/sourcegraph_inc_2025-06-13_9_0.jpg,Yes,UNCLEAR,,NEEDS_REVIEW,0,API error: 429
730,2025-06-13,$5.84,TST*THE FLOWER KITCHEN,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/tstthe_flower_kitchen_2025-06-13_5_84.jpg,Yes,UNCLEAR,,NEEDS_REVIEW,0,API error: 429
727,2025-06-08,$20.00,VZWRLSS*PRPAY AUTOPAY,,,No,NO_RECEIPT,,MISSING_RECEIPT,0,No receipt attached
724,2025-06-08,$10.00,CALENDARBRIDGE,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/calendarbridge_2025-06-08_10_0.jpg,Yes,UNCLEAR,,NEEDS_REVIEW,0,API error: 429
