index,date,amount,merchant,description,receipt_url,has_receipt,gemini_verdict,llama_verdict,final_status,verification_sources
16,2024-07-01,$81.66,UBER TRIP,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/uber_trip_2024-07-01_81_66.png,Yes,RATE_LIMITED,MISMATCH,MISMATCH,"gemini_csv,remaining_log"
29,2024-07-14,$5.00,CLOUDFLARE,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/cloudflare_2024-07-14_5_0.jpg,Yes,RATE_LIMITED,MISMATCH,MISMATCH,"gemini_csv,resume_csv"
31,2024-07-14,$168.87,TST* IL FORNO PIZZERIA,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/tst_il_forno_pizzeria_2024-07-14_168_87_3.jpg,Yes,MISMATCH,MISMATCH,MISMATCH,"gemini_csv,targeted_csv,resume_csv"
37,2024-07-17,$94.22,DD *DOORDASH KALAMATAS,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/dd_doordash_kalamatas_2024-07-17_94_22.jpg,Yes,RATE_LIMITED,MISMATCH,MISMATCH,"gemini_csv,resume_csv"
42,2024-07-19,$1487.80,AUDREY - SEAN BROCK GROU,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/audrey_sean_brock_grou_2024-07-19_1487_8.jpg,Yes,RATE_LIMITED,MISMATCH,MISMATCH,"gemini_csv,llama_log"
76,2024-08-06,$18.10,SH NASHVILLE - OTHER,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/sh_nashville_other_2024-08-06_18_1.jpg,Yes,MISMATCH,MISMATCH,MISMATCH,"gemini_csv,targeted_csv,llama_log"
77,2024-08-06,$84.20,TST*HOMEGROWN TAPROOM &AMP;,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/tsthomegrown_taproom_amp_2024-08-06_84_2.jpg,Yes,RATE_LIMITED,MISMATCH,MISMATCH,"gemini_csv,llama_log"
89,2024-08-13,$58.21,O-KU NASHVILLE,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/o_ku_nashville_2024-08-13_58_21.jpeg,Yes,MISMATCH,MISMATCH,MISMATCH,"gemini_csv,targeted_csv,llama_log"
90,2024-08-13,$44.32,OPTIMIST NASHVILLE,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/optimist_nashville_2024-08-13_44_32_3.jpg,Yes,RATE_LIMITED,MISMATCH,MISMATCH,"gemini_csv,llama_log"
91,2024-08-13,$896.44,OPTIMIST NASHVILLE,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/optimist_nashville_2024-08-13_896_44_3.jpg,Yes,RATE_LIMITED,MISMATCH,MISMATCH,"gemini_csv,llama_log"
93,2024-08-14,$15.38,MAFIAOZAS,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/mafiaozas_2024-08-14_15_38_3.jpg,Yes,MISMATCH,MISMATCH,MISMATCH,"gemini_csv,targeted_csv,llama_log"
94,2024-08-14,$10.99,METROPOLIS PARKING,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/metropolis_parking_2024-08-14_10_99_3.jpg,Yes,RATE_LIMITED,MISMATCH,MISMATCH,"gemini_csv,llama_log"
97,2024-08-14,$27.14,SH NASHVILLE - OTHER,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/sh_nashville_other_2024-08-14_27_14.jpg,Yes,MISMATCH,MISMATCH,MISMATCH,"gemini_csv,targeted_csv,llama_log"
105,2024-08-17,$623.10,TM *PBR TEAMS,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/tm_pbr_teams_2024-08-17_623_1.jpg,Yes,RATE_LIMITED,MISMATCH,MISMATCH,"gemini_csv,llama_log"
112,2024-08-20,$27.42,METROPOLIS PARKING,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/metropolis_parking_2024-08-20_27_42_3.jpg,Yes,RATE_LIMITED,MISMATCH,MISMATCH,"gemini_csv,llama_log"
