index,date,amount,merchant,description,final_status
204,2024-09-11,$40.00,SWA*UPGBOARD5264253430990,,NO_RECEIPT
205,2024-09-11,$40.00,SWA*UPGBOARD5264253431024,,NO_RECEIPT
399,2024-12-06,$9.86,STARBUCKS STORE 00661,,NO_RECEIPT
403,2024-12-07,$16.83,CURB LV TAXI YCS,,NO_RECEIPT
415,2024-12-08,$108.84,VHLV-LODGING,,NO_RECEIPT
444,2024-12-28,$8.00,CARTA NORTH GARAGE,,NO_RECEIPT
574,2025-03-13,$55.91,UNCLE JULIO'S BRENTWOOD,,NO_RECEIPT
596,2025-03-28,$15.00,ENVATO *70322639,,NO_RECEIPT
727,2025-06-08,$20.00,VZWRLSS*PRPAY AUTOPAY,,NO_RECEIPT
832,2025-11-19,$8.00,metropolis,,NO_RECEIPT
