index,date,amount,merchant,description,receipt_url,has_receipt,gemini_verdict,llama_verdict,final_status,verification_sources
204,2024-09-11,$40.00,SWA*UPGBOARD5264253430990,,,No,NO_RECEIPT,,NO_RECEIPT,gemini_csv
205,2024-09-11,$40.00,SWA*UPGBOARD5264253431024,,,No,NO_RECEIPT,,NO_RECEIPT,gemini_csv
399,2024-12-06,$9.86,STARBUCKS STORE 00661,,,No,,,NO_RECEIPT,
403,2024-12-07,$16.83,CURB LV TAXI YCS,,,No,NO_RECEIPT,,NO_RECEIPT,gemini_csv
415,2024-12-08,$108.84,VHLV-LODGING,,,No,NO_RECEIPT,,NO_RECEIPT,gemini_csv
444,2024-12-28,$8.00,CARTA NORTH GARAGE,,,No,NO_RECEIPT,,NO_RECEIPT,gemini_csv
574,2025-03-13,$55.91,UNCLE JULIO'S BRENTWOOD,,,No,NO_RECEIPT,,NO_RECEIPT,gemini_csv
596,2025-03-28,$15.00,ENVATO *70322639,,,No,NO_RECEIPT,,NO_RECEIPT,gemini_csv
727,2025-06-08,$20.00,VZWRLSS*PRPAY AUTOPAY,,,No,NO_RECEIPT,,NO_RECEIPT,gemini_csv
832,2025-11-19,$8.00,metropolis,,,No,NO_RECEIPT,,NO_RECEIPT,gemini_csv
