index,date,amount,merchant,description,receipt_url,has_receipt,gemini_verdict,llama_verdict,final_status,verification_sources
24,2024-07-06,$82.32,DISCO,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/Screenshot 2025-11-20 at 10.55.22 PM.png,Yes,UNCLEAR,,UNVERIFIED,gemini_csv
35,2024-07-17,$17.55,APPLE.COM/BILL,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/applecombill_2024-07-17_17_55_3.jpg,Yes,RATE_LIMITED,,UNVERIFIED,gemini_csv
38,2024-07-17,$5.00,LAZ PARKING M32810,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/laz_parking_m32810_2024-07-17_5_0.jpg,Yes,RATE_LIMITED,ERROR,UNVERIFIED,"gemini_csv,resume_csv"
44,2024-07-22,$54.86,APPLE.COM/BILL,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/applecombill_2024-07-22_54_86.jpg,Yes,RATE_LIMITED,ERROR,UNVERIFIED,"gemini_csv,llama_log"
46,2024-07-22,$8.15,PARK HAPPY LLC,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/Screenshot 2025-11-21 at 3.00.52 AM.png,Yes,UNCLEAR,,UNVERIFIED,gemini_csv
56,2024-07-27,$40.33,APPLE.COM/BILL,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/applecombill_2024-07-27_40_33.jpg,Yes,RATE_LIMITED,,UNVERIFIED,gemini_csv
66,2024-08-02,$39.52,TST*NADEENS HERMITAGE HA,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/tstnadeens_hermitage_ha_2024-08-02_39_52.jpg,Yes,RATE_LIMITED,,UNVERIFIED,gemini_csv
68,2024-08-03,$251.33,APPLE.COM/BILL,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/applecombill_2024-08-03_251_33_3.jpg,Yes,RATE_LIMITED,,UNVERIFIED,gemini_csv
75,2024-08-06,$82.32,DISCO,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/Screenshot 2025-11-20 at 10.56.42 PM.png,Yes,UNCLEAR,,UNVERIFIED,gemini_csv
84,2024-08-10,$94.10,DD *DOORDASH JIMNNICKS,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/dd_doordash_jimnnicks_2024-08-10_94_1.jpg,Yes,RATE_LIMITED,ERROR,UNVERIFIED,"gemini_csv,llama_log"
135,2024-08-24,$7.63,PARK HAPPY LLC,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/Screenshot 2025-11-21 at 3.02.18 AM.png,Yes,UNCLEAR,,UNVERIFIED,gemini_csv
154,2024-08-29,$67.81,CHAR GREEN HILLS,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/char_green_hills_2024-08-29_67_81_3.jpg,Yes,RATE_LIMITED,,UNVERIFIED,gemini_csv
155,2024-08-29,$9.29,PMC - PAID PARKING,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/pmc_paid_parking_2024-08-29_9_29.jpg,Yes,RATE_LIMITED,,UNVERIFIED,gemini_csv
180,2024-09-07,$10.96,APPLE.COM/BILL,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/applecombill_2024-09-07_10_96_3.jpg,Yes,RATE_LIMITED,,UNVERIFIED,gemini_csv
190,2024-09-08,$13.13,SPOTIFY USA,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/spotify_usa_2024-09-08_13_13_3.jpg,Yes,RATE_LIMITED,ERROR,UNVERIFIED,"gemini_csv,llama_log"
210,2024-09-12,$55.53,UBER *TRIP,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/uber_trip_2024-09-12_55_53_3.jpg,Yes,RATE_LIMITED,,UNVERIFIED,gemini_csv
212,2024-09-13,$313.01,GOLDEN NUGGET HOTEL LV,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/golden_nugget_hotel_lv_2024-09-13_313_01.png,Yes,RATE_LIMITED,,UNVERIFIED,gemini_csv
224,2024-09-16,$144.06,TST*MARTINS BAR-B-QUE JO,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/tstmartins_bar_b_que_jo_2024-09-16_144_06.jpg,Yes,RATE_LIMITED,,UNVERIFIED,gemini_csv
