REF NO.,DATE,CATEGORY,CLIENT: PROJECT,FOREIGN AMOUNT,EXCHANGE RATE,CURRENCY,AMOUNT,DEPARTMENT,LINE OF BUSINESS,OFFICE,BILLABLE,MEMO,RECEIPT,ATTACH FILE,CORPORATE CARD,CARD HOLDER NUMBER
1,12/16/25,Software subscriptions,,219.5,1,USD,219.5,CEO,,,,Claude AI - AI assistant for content creation and coding (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/anthropic_2025-12-16_219_50.png,,
2,12/10/25,DH: Travel Costs - Cab/Uber/Bus Fare,,36.95,1,USD,36.95,CEO,,,,Uber from Nashville Airport to Mt. Juliet home office - returning from business trip,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/4304_uber_2025-12-10_36_95.jpg,,
3,12/10/25,DH: Travel Costs - Cab/Uber/Bus Fare,,29.95,1,USD,29.95,CEO,,,,Uber to Nashville Airport - departing Nashville,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/4315_uber_2025-12-10_29_95.jpg,,
4,12/7/25,DH: Travel Costs - Cab/Uber/Bus Fare,PROJ299 Music City Rodeo,50.0,1,USD,50.0,CEO,,,,Venmo - Brandon Schaffner taxi Vegas,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/incoming/venmo_2025-12-07_50_00_19af8410b0ac.jpg,,
5,12/6/25,DH: Travel Costs - Cab/Uber/Bus Fare,PROJ299 Music City Rodeo,18.99,1,USD,18.99,CEO,Down Home : Brand Ventures,,,Uber around Las Vegas - NFR Finals networking,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/4316_uber_2025-12-06_18_99.jpg,,
6,12/6/25,DH: Travel Costs - Cab/Uber/Bus Fare,PROJ299 Music City Rodeo,32.98,1,USD,32.98,CEO,Down Home : Brand Ventures,,,Uber around Las Vegas - NFR Finals events,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/4317_uber_2025-12-06_32_98.jpg,,
7,12/6/25,DH: Travel Costs - Cab/Uber/Bus Fare,PROJ299 Music City Rodeo,37.98,1,USD,37.98,CEO,Down Home : Brand Ventures,,,Uber from Downtown Vegas to Las Vegas Strip - NFR Finals week,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/4321_uber_trip_2025-12-06_37_98.jpg,,
8,12/5/25,Company Meetings and Meals,,53.1,1,USD,53.1,CEO,,,,Apple - App Subscriptions (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/4306_apple_2025-12-05_53_10.jpg,,
9,12/4/25,DH: Travel Costs - Cab/Uber/Bus Fare,,40.76,1,USD,40.76,CEO,,,,Uber from Mt. Juliet home office to Nashville Airport - departing for business trip,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/4318_uber_2025-12-04_40_76.jpg,,
10,12/2/25,Company Meetings and Meals,,3120.0,1,USD,3120.0,CEO,,,,Soho House Nashville - Annual membership dues,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/4287_soho_house_2025-12-02_3120_00.png,,
11,12/1/25,Software subscriptions,,109.75,1,USD,109.75,CEO,,,,Claude AI - AI assistant for content creation and coding (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/835_anthropic_pbc_2025-12-01_109_75.jpg,,
12,12/1/25,Software subscriptions,,20.0,1,USD,20.0,CEO,,,,Ideogram AI - AI logo and graphic design tool (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/4272_ideogram_2025-12-01_20_00.jpg,,
13,12/1/25,Software subscriptions,,21.95,1,USD,21.95,CEO,,,,"Midjourney - Marketing, creative, pitch decks (Monthly)",Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/4273_midjourney_2025-12-01_21_95.jpg,,
14,11/28/25,Company Meetings and Meals,,37.95,1,USD,37.95,CEO,,,,Apple - Apple One Monthly,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/4307_apple_2025-11-28_37_95.jpg,,
15,11/27/25,Software subscriptions,,32.93,1,USD,32.93,CEO,,,,"Midjourney - Marketing, creative, pitch decks (Monthly)",Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/4311_midjourney_2025-11-27_32_93.jpg,,
16,11/27/25,Software subscriptions,,37.95,1,USD,37.95,CEO,,,,Apple - Apple One Monthly,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/4340_apple_icloud____apple_one_bundle_2025-11-27_37_95.png,,
17,11/24/25,Company Meetings and Meals,,37.63,1,USD,37.63,CEO,Down Home : Music,,,Soho House Nashville - Lunch with Mark Wallace (Music Supervisor),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/2025-04-04_SH_NASHVILLE___OTHER_$37_63.jpg,,
18,11/21/25,Software subscriptions,,32.93,1,USD,32.93,CEO,,,,"Midjourney - Marketing, creative, pitch decks (Monthly)",Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/825_midjourney_2025-11-21_32_92.jpg,,
