id,date,bank_description,amount,merchant,description,status,receipt_url
1,2024-06-22,DD DOORDASH DOLLARGEN,8.50,Dollar General,Dollar General supplies,VERIFIED,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1_dollar_general_2024-06-22_8_50.jpg
745,2024-06-28,PEPPERMILL FRONT DESK,101.70,Peppermill Resort Spa Casino,Peppermill - Event supplies,VERIFIED,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/745_peppermill_resort_spa_casino_2024-06-28_101_70.png
1621,2024-06-28,2THE FORUM-LEVY FB-S4,19.50,The Forum Levy,The Forum Levy - Venue food service,VERIFIED,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/800_2the_forumlevy_fbs4_2024-06-28_19_50.html
4347,2024-06-28,HOTELTONIGHT - HILTON LOS ANGELES CULVER CITY,232.00,HotelTonight,Hilton Los Angeles Culver City - LA business trip,VERIFIED,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/4347_hoteltonight_hilton_los_angele_2024-06-28_232_00.jpg
3,2024-06-29,SOUTHWES 5262533925711,889.92,Southwest Airlines,Flight - Gulf Shores Burt Kreischer,VERIFIED,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/3_southwes_5262533925711_2024-06-29_889_91.png
4,2024-06-30,DD DOORDASH NOAHSNEWY,40.40,Noah's New York Bagels,Noahs NY Bagels - LA trip breakfast,VERIFIED,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/4_noah_s_new_york_bagels_via_doo_2024-06-30_40_39.png
5,2024-06-30,FLORA - BAMA,50.00,Flora-Bama,Flora-Bama - Alabama trip expense,VERIFIED,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/5_flora_bama_2024-06-14_50_00.jpg
6,2024-06-30,THE WHARF F&B,54.78,The Wharf,The Wharf F&B - Gulf Shores trip (Burt Kreischer show),VERIFIED,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/6_the_wharf_fampb_2024-06-30_54_78.png
7,2024-06-30,THE WHARF F&B,33.00,The White Harte Public House,The Wharf F&B - Gulf Shores trip (Burt Kreischer show),VERIFIED,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/7_the_wharf_f_b_2024-06-30_33_00.png
485,2024-06-30,DD DOORDASH BAYCITIES,30.23,Bay Cities Italian Deli & Bakery,Bay Cities Deli - Lunch during LA trip,VERIFIED,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/485_doordash_2024-06-30_30_23.jpeg
490,2024-06-30,UBER TRIP,28.75,Uber,Uber from home office to Nashville Airport - departing for Flora-Bama trip,VERIFIED,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/490_uber_2024-06-30_28_75.png
491,2024-06-30,UBER *TRIP HELP.UBER.COM,86.28,Uber,Uber from airport to Flora-Bama venue - Alabama business trip,VERIFIED,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/491_uber_2024-06-29_86_28.jpeg
9,2024-07-01,CHARTMETRIC,140.00,Chartmetric  Inc.,Chartmetric - Music industry analytics (Monthly),VERIFIED,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/9_chartmetric_inc_2024-06-30_140_00.jpg
10,2024-07-01,EXPENSIFY INC.,19.76,Expensify,Expensify - Expense tracking and reporting (Monthly),VERIFIED,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/10_expensify_2024-07-01_19_76.jpg
11,2024-07-01,LULUS LANDING INC,189.50,Lulu's,Lulus Landing - Gulf Shores dinner (Burt Kreischer show),VERIFIED,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/11_lulu_s_2024-07-01_189_50.jpg
12,2024-07-01,TST* PYRAMIDS CAFE - AIRP,20.66,Pyramids Cafe - Airport,Pyramids Cafe Airport - Alabama trip,VERIFIED,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/12_pyramids_cafe_airport_2024-06-30_20_66.jpg
497,2024-07-01,UBER TRIP,81.66,Uber,Uber around Gulf Shores - Flora-Bama venue meetings,VERIFIED,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/497_uber_2024-06-30_81_65.png
4352,2024-07-01,DROPBOX,21.94,Dropbox,Dropbox storage (Monthly),VERIFIED,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/4352_dropbox_2024-07-01_21_94.jpg
13,2024-07-02,SLIM & HUSKIES,24.56,Slim & Husky's,Slim & Huskies Nashville - Lunch with Rachel,VERIFIED,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/13_slim_husky_s_2024-07-02_24_55.jpg
14,2024-07-02,UBER TRIP,39.56,Uber,Uber from Nashville Airport to Mt. Juliet home office - returning from business trip,VERIFIED,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/14_uber_2024-07-02_39_56.jpg
