priority,category_type,issue,idx,date,amount,merchant,receipt_total,receipt_merchant,receipt_date,ai_confidence,review_status,receipt_url,notes
OK,VERIFIED_MATCH,PERFECT MATCH,799,2025-11-01,$52.68,NOTION LABS INC.,52.68,"Notion Labs, Inc.",2024-11-01,100%,good,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/notion_labs_inc_2025-11-01_52_68.jpg,Comprehensive test completed
OK,VERIFIED_MATCH,PERFECT MATCH,796,2025-10-21,$334.00,CLEAR *CLEARME.COM,334.00,CLEAR,2025-10-21,100%,good,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/clear_clearmecom_2025-10-21_334_0.jpg,
OK,VERIFIED_MATCH,PERFECT MATCH,792,2025-10-04,$5.68,ANTHROPIC,5.68,"Anthropic, PBC",2025-10-04,100%,good,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/anthropic_2025-10-04_5_68.png,
OK,VERIFIED_MATCH,PERFECT MATCH,791,2025-10-03,$20.00,IDEOGRAM AI,20.00,Ideogram AI,2025-09-28,100%,good,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/ideogram_ai_2025-10-03_20_0.png,
OK,VERIFIED_MATCH,PERFECT MATCH,786,2025-09-01,$19.76,EXPENSIFY INC.,19.76,Expensify,2025-09-01,100%,good,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/expensify_inc_2025-09-01_19_76_3.jpg,
OK,VERIFIED_MATCH,PERFECT MATCH,785,2025-08-30,$5.00,EVERY STUDIO,5.00,Every Studio,2025-08-30,100%,good,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/every_studio_2025-08-30_5_0.jpg,
OK,VERIFIED_MATCH,PERFECT MATCH,784,2025-08-28,$20.00,IDEOGRAM AI,20.00,Ideogram AI,2025-08-28,100%,good,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/ideogram_ai_2025-08-28_20_0.jpg,
OK,VERIFIED_MATCH,PERFECT MATCH,782,2025-08-26,$9.00,HUGGINGFACE,9.00,Hugging Face Inc,2025-08-25,100%,good,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/huggingface_2025-08-26_9_0.jpg,
OK,VERIFIED_MATCH,PERFECT MATCH,780,2025-08-24,$21.95,CLAUDE.AI SUBSCRIPTION,21.95,"Anthropic, PBC",2025-08-23,100%,good,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/claudeai_subscription_2025-08-24_21_95.jpg,
OK,VERIFIED_MATCH,PERFECT MATCH,778,2025-08-16,$19.99,DAVINCI AI,19.99,Davinci AI,2025-08-16,100%,good,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/davinci_ai_2025-08-16_19_99.jpg,
OK,VERIFIED_MATCH,PERFECT MATCH,771,2025-08-08,$49.25,SODEXO AT BELMONT UNIVER,49.25,Sodexo at Belmont University,2025-08-08,95%,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/sodexo_at_belmont_univer_2025-08-08_49_25.jpg,
OK,VERIFIED_MATCH,PERFECT MATCH,772,2025-08-08,$13.13,SPOTIFY USA,13.13,Spotify,2025-08-08,100%,good,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/spotify_usa_2025-08-08_13_13_3.jpg,
OK,VERIFIED_MATCH,PERFECT MATCH,769,2025-08-07,$21.95,CURSOR AI POWERED IDE,21.95,Cursor,2025-08-07,100%,good,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/cursor_ai_powered_ide_2025-08-07_21_95.jpg,
OK,VERIFIED_MATCH,PERFECT MATCH,766,2025-08-02,$30.16,MONGODBCLOUD BRIANS...,30.16,MongoDB Atlas,2025-03-28,95%,good,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/mongodbcloud_brians_2025-08-02_30_16_3.jpg,
OK,VERIFIED_MATCH,PERFECT MATCH,765,2025-08-01,$19.76,EXPENSIFY INC.,19.76,Expensify,2025-08-01,100%,good,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/expensify_inc_2025-08-01_19_76_3.jpg,
OK,VERIFIED_MATCH,PERFECT MATCH,763,2025-07-30,$5.00,EVERY STUDIO,5.00,Every Studio,2025-07-30,100%,good,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/every_studio_2025-07-30_5_0.jpg,
OK,VERIFIED_MATCH,PERFECT MATCH,764,2025-07-30,$20.00,VZWRLSS*PREPAID PYMNT,20.00,Verizon Wireless,2025-07-30,100%,good,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/vzwrlssprepaid_pymnt_2025-07-30_20_0.jpg,
OK,VERIFIED_MATCH,PERFECT MATCH,762,2025-07-28,$0.75,HIVE CO,0.75,Hive,,100%,good,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/hive_co_2025-07-28_0_75_3.jpg,
OK,VERIFIED_MATCH,PERFECT MATCH,760,2025-07-25,$9.00,HUGGINGFACE,9.00,Hugging Face Inc,2025-07-24,100%,good,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/huggingface_2025-07-25_9_0.jpg,
OK,VERIFIED_MATCH,PERFECT MATCH,758,2025-07-24,$21.95,CLAUDE.AI SUBSCRIPTION,21.95,"Anthropic, PBC",2025-07-23,100%,good,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/claudeai_subscription_2025-07-24_21_95.jpg,
OK,VERIFIED_MATCH,PERFECT MATCH,759,2025-07-24,$23.45,VZWRLSS*ETM SCT1456901,23.45,Verizon Wireless,2025-07-24,100%,good,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/vzwrlssetm_sct1456901_2025-07-24_23_45.jpg,
OK,VERIFIED_MATCH,PERFECT MATCH,753,2025-07-14,$10.00,CLOUDFLARE,10.00,CLOUDFLARE,2025-04-14,100%,good,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/cloudflare_2025-07-14_10_0.jpg,
OK,VERIFIED_MATCH,PERFECT MATCH,751,2025-07-11,$5.00,EVERY STUDIO,5.00,Every Studio,2025-07-11,100%,good,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/every_studio_2025-07-11_5_0.jpg,
OK,VERIFIED_MATCH,PERFECT MATCH,748,2025-07-08,$37.67,MONGODBCLOUD BRIANS...,37.67,Brian's Org - MongoDB,2025-03-28,100%,good,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/mongodbcloud_brians_2025-07-08_37_67_3.jpg,
OK,VERIFIED_MATCH,PERFECT MATCH,749,2025-07-08,$13.13,SPOTIFY USA,13.13,Spotify,2025-08-08,100%,good,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/spotify_usa_2025-07-08_13_13_3.jpg,
OK,LIKELY_MATCH,Close match: $21.86 vs $20.20 (diff: $1.66),747,2025-07-08,$21.86,CURSOR AI POWERED IDE,20.20,cursor october,,95%,good,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/cursor_ai_powered_ide_2025-07-08_21_86.jpg,
OK,VERIFIED_MATCH,PERFECT MATCH,745,2025-07-01,$19.76,EXPENSIFY INC.,19.76,Expensify,2025-07-01,100%,good,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/expensify_inc_2025-07-01_19_76_3.jpg,
OK,VERIFIED_MATCH,PERFECT MATCH,744,2025-06-30,$32.93,MIDJOURNEY INC.,32.93,Midjourney Inc,2025-06-29,100%,good,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/midjourney_inc_2025-06-30_32_93.jpg,
OK,VERIFIED_MATCH,PERFECT MATCH,742,2025-06-27,$32.32,PMC - PAID PARKING,32.32,PMC PARKING,2025-06-27,100%,good,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/pmc_paid_parking_2025-06-27_32_32.png,
OK,VERIFIED_MATCH,PERFECT MATCH,740,2025-06-25,$109.84,CURSOR USAGE MID JUN,109.84,Cursor,2025-06-25,100%,good,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/cursor_usage_mid_jun_2025-06-25_109_84.jpg,
OK,VERIFIED_MATCH,PERFECT MATCH,738,2025-06-24,$21.95,CLAUDE.AI SUBSCRIPTION,21.95,"Anthropic, PBC",2025-06-23,100%,good,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/claudeai_subscription_2025-06-24_21_95.jpg,
OK,VERIFIED_MATCH,PERFECT MATCH,739,2025-06-24,$9.00,HUGGINGFACE,9.00,Hugging Face Inc,2025-06-23,100%,good,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/huggingface_2025-06-24_9_0.jpg,
OK,VERIFIED_MATCH,PERFECT MATCH,731,2025-06-14,$10.00,CLOUDFLARE,10.00,Cloudflare,2025-05-14,100%,good,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/cloudflare_2025-06-14_10_0.jpg,
OK,VERIFIED_MATCH,PERFECT MATCH,730,2025-06-13,$5.84,TST*THE FLOWER KITCHEN,5.84,The Flower Kitchen,2025-06-13,100%,good,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/tstthe_flower_kitchen_2025-06-13_5_84.jpg,
OK,LIKELY_MATCH,Good match (conf: 80%),729,2025-06-13,$9.00,SOURCEGRAPH INC,9.00,"Sourcegraph, Inc.",2024-10-13,80%,good,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/sourcegraph_inc_2025-06-13_9_0.jpg,
OK,VERIFIED_MATCH,PERFECT MATCH,724,2025-06-08,$10.00,CALENDARBRIDGE,10.00,CalendarBridge,2025-06-08,100%,good,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/calendarbridge_2025-06-08_10_0.jpg,
OK,VERIFIED_MATCH,PERFECT MATCH,725,2025-06-08,$55.84,CURSOR USAGE MAY,55.84,Cursor,2025-06-08,100%,good,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/cursor_usage_may_2025-06-08_55_84_3.jpg,
OK,VERIFIED_MATCH,PERFECT MATCH,726,2025-06-08,$13.13,SPOTIFY USA,13.13,Spotify,2025-06-08,100%,good,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/spotify_usa_2025-06-08_13_13_3.jpg,
OK,VERIFIED_MATCH,PERFECT MATCH,719,2025-06-04,$79.25,CORNER PUB,79.25,The Original Corner Pub,2025-06-04,100%,good,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/corner_pub_2025-06-04_79_25_3.jpg,
OK,VERIFIED_MATCH,PERFECT MATCH,716,2025-06-01,$19.76,EXPENSIFY INC.,19.76,Expensify,2025-06-01,100%,good,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/expensify_inc_2025-06-01_19_76_3.jpg,
OK,VERIFIED_MATCH,PERFECT MATCH,713,2025-05-31,$65.84,DASHLANE U* DASHLANE P,65.84,DASHLANE,2025-05-31,100%,good,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/dashlane_u_dashlane_p_2025-05-31_65_84_3.jpg,
OK,VERIFIED_MATCH,PERFECT MATCH,710,2025-05-30,$5.00,EVERY STUDIO,5.00,Every Studio,2025-05-30,100%,good,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/every_studio_2025-05-30_5_0.jpg,
OK,VERIFIED_MATCH,PERFECT MATCH,711,2025-05-30,$32.93,MIDJOURNEY INC.,32.93,Midjourney Inc,2025-05-29,100%,good,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/midjourney_inc_2025-05-30_32_93.jpg,
OK,VERIFIED_MATCH,PERFECT MATCH,705,2025-05-26,$9.99,COWBOY CHANNEL PLUS,9.99,Cowboy Channel Plus,2025-05-26,100%,good,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/cowboy_channel_plus_2025-05-26_9_99_3.jpg,
OK,VERIFIED_MATCH,PERFECT MATCH,703,2025-05-24,$21.95,CLAUDE.AI SUBSCRIPTION,21.95,"Anthropic, PBC",2025-05-23,100%,good,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/claudeai_subscription_2025-05-24_21_95.jpg,
OK,VERIFIED_MATCH,PERFECT MATCH,702,2025-05-23,$9.00,HUGGINGFACE,9.00,Hugging Face Inc,2025-05-22,100%,good,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/huggingface_2025-05-23_9_0.jpg,
OK,VERIFIED_MATCH,PERFECT MATCH,695,2025-05-15,$54.86,ELEMENTOR.COM,54.86,Elementor Ltd.,2025-05-15,100%,good,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/elementorcom_2025-05-15_54_86.jpg,
OK,VERIFIED_MATCH,PERFECT MATCH,690,2025-05-14,$10.00,CLOUDFLARE,10.00,Cloudflare,2025-05-14,100%,good,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/cloudflare_2025-05-14_10_0.jpg,
OK,VERIFIED_MATCH,PERFECT MATCH,691,2025-05-14,$49.00,RESPONSIVE-MENU-PRO-4,49.00,Responsive Menu Pro,2025-05-14,100%,good,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/responsive_menu_pro_4_2025-05-14_49_0.jpg,
OK,VERIFIED_MATCH,PERFECT MATCH,688,2025-05-13,$120.00,TASKADE,120.00,TASKADE,2025-05-12,100%,good,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/taskade_2025-05-13_120_0.jpg,
OK,LIKELY_MATCH,Good match (conf: 80%),687,2025-05-13,$9.00,SOURCEGRAPH INC,9.00,"Sourcegraph, Inc.",2024-11-13,80%,good,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/sourcegraph_inc_2025-05-13_9_0.jpg,
OK,VERIFIED_MATCH,PERFECT MATCH,685,2025-05-10,$20.00,VZWRLSS*PREPAID PYMNT,20.00,VZWRLSS*PREPAID PYMNT,,100%,good,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/vzwrlssprepaid_pymnt_2025-05-10_20_0.jpg,
OK,LIKELY_MATCH,Close match: $7.38 vs $9.21 (diff: $1.83),683,2025-05-09,$7.38,LAZ PARKING M32180-FLOWB,9.21,metropolis parking,2025-01-09,100%,good,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/laz_parking_m32180_flowb_2025-05-09_7_38.jpg,
OK,VERIFIED_MATCH,PERFECT MATCH,681,2025-05-08,$10.00,CALENDARBRIDGE,10.00,CalendarBridge,2025-05-08,100%,good,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/calendarbridge_2025-05-08_10_0.jpg,
OK,VERIFIED_MATCH,PERFECT MATCH,682,2025-05-08,$13.13,SPOTIFY USA,13.13,Spotify,2025-05-08,100%,good,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/spotify_usa_2025-05-08_13_13.jpg,
OK,VERIFIED_MATCH,PERFECT MATCH,674,2025-05-02,$54.90,ANTHROPIC,54.90,"Anthropic, PBC",2025-05-02,100%,good,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/anthropic_2025-05-02_54_9.jpg,
OK,VERIFIED_MATCH,PERFECT MATCH,672,2025-05-01,$19.76,EXPENSIFY INC.,19.76,Expensify,2025-05-01,100%,good,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/expensify_inc_2025-05-01_19_76_3.jpg,
OK,VERIFIED_MATCH,PERFECT MATCH,667,2025-04-30,$5.00,EVERY STUDIO,5.00,Every Studio,2025-04-30,100%,good,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/every_studio_2025-04-30_5_0.jpg,
OK,VERIFIED_MATCH,PERFECT MATCH,668,2025-04-30,$32.93,MIDJOURNEY INC.,32.93,Midjourney Inc,2025-04-29,100%,good,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/midjourney_inc_2025-04-30_32_93.jpg,
