index,date,amount,merchant,receipt_url,verdict,reason
12,2024-07-01,$140.00,CHARTMETRIC,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/chartmetric_2024-07-01_140_0.jpg,VERIFIED,"The receipt matches the details provided. The amount is $140.0, the merchant is CHARTMETRIC, and the"
13,2024-07-01,$19.76,EXPENSIFY INC.,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/expensify_inc_2024-07-01_19_76_3.jpg,MISMATCH,The image provided does not contain a receipt. It appears to be a screenshot of a webpage or applica
14,2024-07-01,$189.50,LULUS LANDING INC,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/lulus_landing_inc_2024-07-01_189_5.jpg,VERIFIED,"The receipt matches the provided details. It shows an amount of $189.5, a merchant named 'LULUS LAND"
15,2024-07-01,$20.66,TST* PYRAMIDS CAFE - AIRP,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/tst_pyramids_cafe_airp_2024-07-01_20_66_3.jpg,MISMATCH,"The amount on the receipt is $20.66, which does not match the expected amount of $20.66."
16,2024-07-01,$81.66,UBER TRIP,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/uber_trip_2024-07-01_81_66.png,MISMATCH,The image provided does not contain a receipt. It appears to be a screenshot of a mobile device disp
17,2024-07-02,$103.99,LYFT *RIDE TUE 4AM,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/lyft_ride_tue_4am_2024-07-02_103_99.jpg,VERIFIED,"The receipt matches the details provided. The amount is $103.99, the merchant is LYFT with a note in"
18,2024-07-02,$24.56,SLIM &AMP; HUSKIES,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/slim_amp_huskies_2024-07-02_24_56.jpg,MISMATCH,"The receipt shows an amount of $24.56, which does not match the expected amount of $24.56."
19,2024-07-02,$39.56,UBER TRIP,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/uber_trip_2024-07-02_39_56_3.jpg,VERIFIED,"The receipt matches the details provided. The amount is $39.56, the merchant is UBER TRIP, and the d"
22,2024-07-05,$21.94,APPLE.COM/BILL,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/applecombill_2024-07-05_21_94_3.jpg,VERIFIED,"The receipt matches the details provided. The amount is $21.94, the merchant is APPLE.COM/BILL, and "
24,2024-07-06,$82.32,DISCO,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/Screenshot 2025-11-20 at 10.55.22 PM.png,ERROR,Image download failed
25,2024-07-08,$10.00,CALENDARBRIDGE,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/calendarbridge_2024-07-08_10_0.jpg,VERIFIED,"The receipt matches the details provided. The amount is $10.0, the merchant is CALENDARBRIDGE, and t"
26,2024-07-08,$13.13,SPOTIFY USA,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/spotify_usa_2024-07-08_13_13_3.jpg,MISMATCH,The image provided does not contain a receipt. It appears to be a screenshot of a mobile device disp
27,2024-07-10,$10.98,MIDJOURNEY INC.,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/midjourney_inc_2024-07-10_10_98_3.jpg,VERIFIED,"The receipt matches the details provided. The amount is $10.98, the merchant is MIDJOURNEY INC., and"
29,2024-07-14,$5.00,CLOUDFLARE,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/cloudflare_2024-07-14_5_0.jpg,MISMATCH,The image provided does not contain a receipt. It appears to be a screenshot of a webpage with an er
31,2024-07-14,$168.87,TST* IL FORNO PIZZERIA,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/tst_il_forno_pizzeria_2024-07-14_168_87_3.jpg,VERIFIED,"The receipt matches the provided details. It shows an amount of $168.87, a merchant named 'TST* IL F"
