index,amount,merchant,date,receipt_url,gemini_verdict,gemini_reason,gemini_receipt_total,old_category
154,$67.81,CHAR GREEN HILLS,2024-08-29,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/char_green_hills_2024-08-29_67_81_3.jpg,ERROR,API error: 404,,AMOUNT_MISMATCH
250,$50.00,IM-ADA.AI,2024-09-30,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/im_adaai_2024-09-30_50_0.jpg,ERROR,API error: 404,,AMOUNT_MISMATCH
283,$422.72,CHAR GREEN HILLS,2024-10-15,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/char_green_hills_2024-10-15_422_72_3.jpg,ERROR,API error: 404,,AMOUNT_MISMATCH
367,$884.98,SOUTHWES 5262584463367,2024-11-27,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/southwes_5262584463367_2024-11-27_884_98.jpg,ERROR,API error: 404,,AMOUNT_MISMATCH
378,$708.64,COSMOPOL-BLUE RIBBON,2024-12-03,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/cosmopol_blue_ribbon_2024-12-03_708_64.jpg,ERROR,API error: 404,,AMOUNT_MISMATCH
398,$17.55,PORT OF SUBS 0053,2024-12-06,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/port_of_subs_0053_2024-12-06_17_55_3.jpg,ERROR,API error: 404,,AMOUNT_MISMATCH
416,$34.07,UBER *TRIP,2024-12-09,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/uber_trip_2024-12-09_34_07_3.jpg,ERROR,API error: 404,,AMOUNT_MISMATCH
458,$10.00,CALENDARBRIDGE,2025-01-08,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/calendarbridge_2025-01-08_10_0.jpg,ERROR,API error: 404,,AMOUNT_MISMATCH
466,$9.00,SOURCEGRAPH INC,2025-01-13,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/sourcegraph_inc_2025-01-13_9_0.jpg,ERROR,API error: 404,,AMOUNT_MISMATCH
533,$57.62,UBER *TRIP,2025-02-18,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/uber_trip_2025-02-18_57_62.jpg,ERROR,API error: 404,,AMOUNT_MISMATCH
575,$10.00,CLOUDFLARE,2025-03-14,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/cloudflare_2025-03-14_10_0.jpg,ERROR,API error: 404,,AMOUNT_MISMATCH
581,$15.99,METROPOLIS PARKING,2025-03-21,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/metropolis_parking_2025-03-21_15_99_3.jpg,ERROR,API error: 404,,AMOUNT_MISMATCH
609,$15.15,METROPOLIS PARKING,2025-04-04,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/metropolis_parking_2025-04-04_15_15.jpg,ERROR,API error: 404,,AMOUNT_MISMATCH
625,$217.40,TST*GREEN HILLS GRILLE,2025-04-10,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/tstgreen_hills_grille_2025-04-10_217_4.jpg,ERROR,API error: 404,,AMOUNT_MISMATCH
682,$13.13,SPOTIFY USA,2025-05-08,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/spotify_usa_2025-05-08_13_13.jpg,ERROR,API error: 404,,AMOUNT_MISMATCH
691,$49.00,RESPONSIVE-MENU-PRO-4,2025-05-14,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/responsive_menu_pro_4_2025-05-14_49_0.jpg,ERROR,API error: 404,,AMOUNT_MISMATCH
694,$60.00,AI.FYXER.COM,2025-05-15,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/aifyxercom_2025-05-15_60_0.jpg,ERROR,API error: 404,,AMOUNT_MISMATCH
705,$9.99,COWBOY CHANNEL PLUS,2025-05-26,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/cowboy_channel_plus_2025-05-26_9_99_3.jpg,ERROR,API error: 404,,AMOUNT_MISMATCH
764,$20.00,VZWRLSS*PREPAID PYMNT,2025-07-30,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/vzwrlssprepaid_pymnt_2025-07-30_20_0.jpg,ERROR,API error: 404,,AMOUNT_MISMATCH
775,$10.00,CLOUDFLARE,2025-08-14,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/cloudflare_2025-08-14_10_00.jpg,ERROR,API error: 404,,AMOUNT_MISMATCH
42,$1487.80,AUDREY - SEAN BROCK GROU,2024-07-19,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/audrey_sean_brock_grou_2024-07-19_1487_8.jpg,ERROR,API error: 404,,NO_REASON_GIVEN
76,$18.10,SH NASHVILLE - OTHER,2024-08-06,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/sh_nashville_other_2024-08-06_18_1.jpg,ERROR,API error: 404,,NO_REASON_GIVEN
77,$84.20,TST*HOMEGROWN TAPROOM &AMP;,2024-08-06,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/tsthomegrown_taproom_amp_2024-08-06_84_2.jpg,ERROR,API error: 404,,NO_REASON_GIVEN
89,$58.21,O-KU NASHVILLE,2024-08-13,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/o_ku_nashville_2024-08-13_58_21.jpeg,ERROR,API error: 404,,NO_REASON_GIVEN
90,$44.32,OPTIMIST NASHVILLE,2024-08-13,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/optimist_nashville_2024-08-13_44_32_3.jpg,ERROR,API error: 404,,NO_REASON_GIVEN
91,$896.44,OPTIMIST NASHVILLE,2024-08-13,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/optimist_nashville_2024-08-13_896_44_3.jpg,ERROR,API error: 404,,NO_REASON_GIVEN
