index,date,amount,merchant,receipt_url,llava_verdict,gemini_verdict,llama_verdict,final_status
15,2024-07-01,$20.66,TST* PYRAMIDS CAFE - AIRP,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/tst_pyramids_cafe_airp_2024-07-01_20_66_3.jpg,MISMATCH,RATE_LIMITED,,VERIFIED
18,2024-07-02,$24.56,SLIM &AMP; HUSKIES,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/slim_amp_huskies_2024-07-02_24_56.jpg,MISMATCH,RATE_LIMITED,,VERIFIED
38,2024-07-17,$5.00,LAZ PARKING M32810,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/laz_parking_m32810_2024-07-17_5_0.jpg,MISMATCH,RATE_LIMITED,,VERIFIED
44,2024-07-22,$54.86,APPLE.COM/BILL,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/applecombill_2024-07-22_54_86.jpg,MISMATCH,RATE_LIMITED,ERROR,VERIFIED
49,2024-07-25,$43.60,CHAR GREEN HILLS,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/char_green_hills_2024-07-25_43_6.jpg,MISMATCH,RATE_LIMITED,,VERIFIED
190,2024-09-08,$13.13,SPOTIFY USA,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/spotify_usa_2024-09-08_13_13_3.jpg,MISMATCH,RATE_LIMITED,ERROR,VERIFIED
253,2024-10-01,$61.00,TST* THE GREENHOUSE BAR,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/tst_the_greenhouse_bar_2024-10-01_61_0.jpg,MISMATCH,RATE_LIMITED,,VERIFIED
272,2024-10-08,$13.13,SPOTIFY USA,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/spotify_usa_2024-10-08_13_13_3.jpg,MISMATCH,RATE_LIMITED,ERROR,VERIFIED
286,2024-10-16,$133.44,CORNER PUB,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/corner_pub_2024-10-16_133_44.jpg,MISMATCH,RATE_LIMITED,,VERIFIED
287,2024-10-16,$19.94,PMC - PAID PARKING,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/pmc_paid_parking_2024-10-16_19_94.png,MISMATCH,RATE_LIMITED,,VERIFIED
