Index,Date,Amount,Merchant,Category,Status,Attention,AI_Confidence,Receipt_Merchant,Receipt_Total,Receipt_Date,Receipt_URL,Notes
799,2025-11-01,$52.68,NOTION LABS INC.,General,good,VERIFIED (previous run),100%,"Notion Labs, Inc.",52.68,2024-11-01,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/notion_labs_inc_2025-11-01_52_68.jpg,Comprehensive test completed
831,2025-10-28,$5.00,railway corporation,,accepted,VERIFIED (previous run),,,,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/incoming/receipt_19a28cbc06ea_att0.jpg,From: Your receipt from Railway Corporation #2410-1836
796,2025-10-21,$334.00,CLEAR *CLEARME.COM,General,good,VERIFIED (previous run),100%,CLEAR,334.00,2025-10-21,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/clear_clearmecom_2025-10-21_334_0.jpg,
792,2025-10-04,$5.68,ANTHROPIC,Software & Subscriptions,good,VERIFIED (previous run),100%,"Anthropic, PBC",5.68,2025-10-04,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/anthropic_2025-10-04_5_68.png,
791,2025-10-03,$20.00,IDEOGRAM AI,General,good,VERIFIED (previous run),100%,Ideogram AI,20.00,2025-09-28,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/ideogram_ai_2025-10-03_20_0.png,
786,2025-09-01,$19.76,EXPENSIFY INC.,Software & Subscriptions,good,VERIFIED (previous run),100%,Expensify,19.76,2025-09-01,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/expensify_inc_2025-09-01_19_76_3.jpg,
785,2025-08-30,$5.00,EVERY STUDIO,Software & Subscriptions,good,VERIFIED (previous run),100%,Every Studio,5.00,2025-08-30,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/every_studio_2025-08-30_5_0.jpg,
784,2025-08-28,$20.00,IDEOGRAM AI,General,good,VERIFIED (previous run),100%,Ideogram AI,20.00,2025-08-28,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/ideogram_ai_2025-08-28_20_0.jpg,
782,2025-08-26,$9.00,HUGGINGFACE,Software & Subscriptions,good,VERIFIED (previous run),100%,Hugging Face Inc,9.00,2025-08-25,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/huggingface_2025-08-26_9_0.jpg,
780,2025-08-24,$21.95,CLAUDE.AI SUBSCRIPTION,Software & Subscriptions,good,VERIFIED (previous run),100%,"Anthropic, PBC",21.95,2025-08-23,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/claudeai_subscription_2025-08-24_21_95.jpg,
778,2025-08-16,$19.99,DAVINCI AI,General,good,VERIFIED (previous run),100%,Davinci AI,19.99,2025-08-16,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/davinci_ai_2025-08-16_19_99.jpg,
