Index,Description,Amount,Date,Category,Status
676,APPLE.COM/US,3926.80,2025-05-04,,Personal - Ignored
615,APPLE.COM/US,1645.15,2025-04-05,,Personal - Ignored
421,AMAZON MKTPL*Z12M40P52,995.30,2024-12-14,,Personal - Ignored
733,GREENWAYKIA HICKHOLLOW,765.07,2025-06-16,,Personal - Ignored
304,GAMESTOP 7623,648.49,2024-10-27,,Personal - Ignored
101,WF*MTJULIETDENTISTRY,640.00,2024-08-15,,Personal - Ignored
369,AMZN MKTP US*Z326K25Q1,614.48,2024-11-30,,Personal - Ignored
317,PY *TRIMLIGHT NASHVILLE,499.00,2024-11-04,,Personal - Ignored
585,HEADS OR TAILS,489.29,2025-03-23,,Personal - Ignored
392,SP SCHAEFER OUTFITTE,411.83,2024-12-05,,Personal - Ignored
142,BUCK MASON,388.52,2024-08-27,,Personal - Ignored
43,MARGARITA HOUSE BAR,114.51,2024-07-21,,Personal - Ignored
528,HAMILTON'S KITCHEN,110.11,2025-02-15,,Personal - Ignored
563,APPLE.COM/US,108.65,2025-03-07,,Personal - Ignored
714,ANNUAL MEMBERSHIP FEE,99.00,2025-06-01,,Personal - Ignored
438,AMAZON MKTPL*Z954Y0GI0,66.96,2024-12-21,,Personal - Ignored
788,LATE FEE,40.00,2025-09-14,,Personal - Ignored
88,LATE FEE,40.00,2024-08-13,,Personal - Ignored
728,LATE FEE,40.00,2025-06-13,,Personal - Ignored
280,LATE FEE,40.00,2024-10-13,,Personal - Ignored
637,LATE FEE,40.00,2025-04-13,,Personal - Ignored
529,HAMILTON'S KITCHEN,29.50,2025-02-15,,Personal - Ignored
798,GAMESTOP .COM #0480,27.44,2025-10-28,,Personal - Ignored
557,TACO BELL #723232,21.00,2025-03-05,,Personal - Ignored
33,AMAZON PRIME*RS5OU2471,16.41,2024-07-16,,Personal - Ignored
102,AMAZON PRIME*RU4D733W0,16.41,2024-08-16,,Personal - Ignored
576,AUDIBLE*YY4HR14Q3,16.37,2025-03-16,,Personal - Ignored
777,AUDIBLE*IE6Q69NE3,16.37,2025-08-16,,Personal - Ignored
646,AUDIBLE*8E28H6Z43,16.37,2025-04-16,,Personal - Ignored
218,AUDIBLE*EG9U55603,16.37,2024-09-16,,Personal - Ignored
345,AUDIBLE*C56XE5HN3,16.37,2024-11-16,,Personal - Ignored
530,AUDIBLE*RI2246V93,16.37,2025-02-16,,Personal - Ignored
472,AUDIBLE*Z59ZQ9DZ0,16.37,2025-01-16,,Personal - Ignored
424,AUDIBLE*Z14989W12,16.37,2024-12-16,,Personal - Ignored
285,AUDIBLE*3Z1515TZ3,16.37,2024-10-16,,Personal - Ignored
532,THE ALFOND INN AT ROLLINS,14.06,2025-02-17,,Personal - Ignored
