index,date,amount,merchant,receipt_url,verdict,confidence,receipt_total,receipt_merchant,reasoning
561,2025-03-06,23.36,SH NASHVILLE - OTHER,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/sh_nashville_other_2025-03-06_23_36.jpg,UNCLEAR,0,,,API error: 429
562,2025-03-06,30.92,TST* JUST LOVE COFFEE - M,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/tst_just_love_coffee_m_2025-03-06_30_92.jpg,UNCLEAR,0,,,API error: 429
564,2025-03-07,20.0,CURSOR AI POWERED IDE,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/cursor_ai_powered_ide_2025-03-07_20_0.jpg,UNCLEAR,0,,,API error: 429
569,2025-03-09,112.84,SH NASHVILLE - OTHER,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/sh_nashville_other_2025-03-09_112_84.jpg,UNCLEAR,0,,,API error: 429
573,2025-03-13,9.0,SOURCEGRAPH INC,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/sourcegraph_inc_2025-03-13_9_0.jpg,UNCLEAR,0,,,API error: 429
575,2025-03-14,10.0,CLOUDFLARE,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/cloudflare_2025-03-14_10_0.jpg,UNCLEAR,0,,,API error: 429
578,2025-03-20,20.0,CURSOR USAGE MID MAR,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/cursor_usage_mid_mar_2025-03-20_20_0.jpg,UNCLEAR,0,,,API error: 429
581,2025-03-21,15.99,METROPOLIS PARKING,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/metropolis_parking_2025-03-21_15_99_3.jpg,UNCLEAR,0,,,API error: 429
583,2025-03-22,46.45,TST* TWO HANDS - NASHVILL,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/tst_two_hands_nashvill_2025-03-22_46_45.jpg,UNCLEAR,0,,,API error: 429
591,2025-03-25,36.72,METROPOLIS PARKING,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/metropolis_parking_2025-03-25_36_72.jpg,UNCLEAR,0,,,API error: 429
594,2025-03-28,20.0,CURSOR USAGE MID MAR,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/cursor_usage_mid_mar_2025-03-28_20_0.jpg,UNCLEAR,0,,,API error: 429
595,2025-03-28,299.88,ELEMENTOR.COM,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/elementorcom_2025-03-28_299_88.jpg,UNCLEAR,0,,,API error: 429
601,2025-03-31,20.0,CURSOR USAGE MID MAR,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/cursor_usage_mid_mar_2025-03-31_20_0.jpg,UNCLEAR,0,,,API error: 429
609,2025-04-04,15.15,METROPOLIS PARKING,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/metropolis_parking_2025-04-04_15_15.jpg,UNCLEAR,0,,,API error: 429
610,2025-04-04,26.25,METROPOLIS PARKING,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/metropolis_parking_2025-04-04_26_25_3.jpg,UNCLEAR,0,,,API error: 429
612,2025-04-04,33.74,SH NASHVILLE - OTHER,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/sh_nashville_other_2025-04-04_33_74.PNG,UNCLEAR,0,,,API error: 429
613,2025-04-04,11.68,SH NASHVILLE - OTHER,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/sh_nashville_other_2025-04-04_11_68.jpg,UNCLEAR,0,,,API error: 429
614,2025-04-04,37.63,SH NASHVILLE - OTHER,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/sh_nashville_other_2025-04-04_37_63.jpg,UNCLEAR,0,,,API error: 429
617,2025-04-06,20.0,CURSOR USAGE MID APR,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/cursor_usage_mid_apr_2025-04-06_20_0.jpg,UNCLEAR,0,,,API error: 429
625,2025-04-10,217.4,TST*GREEN HILLS GRILLE,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/tstgreen_hills_grille_2025-04-10_217_4.jpg,UNCLEAR,0,,,API error: 429
327,2024-11-08,45.24,SH NASHVILLE - OTHER,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/sh_nashville_other_2024-11-08_45_24.PNG,VERIFIED,100,45.24,Soho House Nashville,The receipt total ($45.24) matches the bank transaction amount ($45.24). The receipt date (2024-11-08) matches the bank transaction date (2024-11-08). The receipt merchant (Soho House Nashville) reaso
341,2024-11-15,29.4,METROPOLIS PARKING,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/metropolis_parking_2024-11-15_29_4.jpg,MISMATCH,100,15.99,metropolis,The receipt total ($15.99) and date (2025-02-26) do not match the bank transaction amount ($29.40) and date (2024-11-15). The merchant name does match.
351,2024-11-20,20.66,METROPOLIS PARKING,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/metropolis_parking_2024-11-20_20_66.jpg,MISMATCH,80,89.82,PMC,"The receipt total is $89.82, which does not match the bank transaction amount of $20.66. The merchant name 'PMC' does not reasonably match 'METROPOLIS PARKING'. There is no date on the receipt."
362,2024-11-25,51.98,CORNER PUB,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/corner_pub_2024-11-25_51_98.heic,VERIFIED,95,51.98,The Original Corner Pub,"The receipt total ($51.98) matches the bank transaction amount ($51.98). The merchant name 'The Original Corner Pub' reasonably matches 'CORNER PUB'. The date is not present on the receipt, but since "
368,2024-11-29,123.17,GOLDEN NUGGET HOTEL LV,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/golden_nugget_hotel_lv_2024-11-29_123_17.png,MISMATCH,80,0.0,Golden Nugget Las Vegas,"The receipt date is 2024-11-26 (email sent date), but the bank transaction date is 2024-11-29. The receipt total is $0.00, while the bank transaction amount is $123.17. The merchant name matches. Sinc"
