index,date,amount,merchant,receipt_url,verdict,confidence,receipt_total,receipt_merchant,reasoning
824,2025-11-21,32.93,midjourney,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/receipt_198ec087021a_att1.jpg,MISMATCH,100,32.93,Midjourney Inc,"The amount matches ($32.93), and the merchant name matches (Midjourney). However, the date on the receipt (2025-08-27) is not within 7 days of the bank transaction date (2025-11-21)."
832,2025-11-19,8.0,metropolis,,NO_RECEIPT,0,,,No receipt attached
799,2025-11-01,52.68,NOTION LABS INC.,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/notion_labs_inc_2025-11-01_52_68.jpg,UNCLEAR,0,,,API error: 429
831,2025-10-28,5.0,railway corporation,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/incoming/receipt_19a28cbc06ea_att0.jpg,UNCLEAR,0,,,API error: 429
829,2025-10-22,158.04,runway,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/incoming/receipt_19a0b09638e6_att0.jpg,UNCLEAR,0,,,API error: 429
796,2025-10-21,334.0,CLEAR *CLEARME.COM,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/clear_clearmecom_2025-10-21_334_0.jpg,UNCLEAR,0,,,API error: 429
792,2025-10-04,5.68,ANTHROPIC,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/anthropic_2025-10-04_5_68.png,UNCLEAR,0,,,API error: 429
791,2025-10-03,20.0,IDEOGRAM AI,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/ideogram_ai_2025-10-03_20_0.png,UNCLEAR,0,,,API error: 429
830,2025-09-10,120.0,taskade,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/incoming/receipt_199314a94cc4_att0.jpg,UNCLEAR,0,,,API error: 429
786,2025-09-01,19.76,EXPENSIFY INC.,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/expensify_inc_2025-09-01_19_76_3.jpg,VERIFIED,100,19.76,Expensify,The receipt total ($19.76) matches the bank transaction amount ($19.76). The receipt date (2025-09-01) matches the bank transaction date (2025-09-01). The receipt merchant (Expensify) reasonably matches the bank transaction merchant (EXPENSIFY INC.).
785,2025-08-30,5.0,EVERY STUDIO,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/every_studio_2025-08-30_5_0.jpg,VERIFIED,100,5.00,Every Studio,"The receipt total is $5.00, the date is August 30, 2025, and the merchant is Every Studio. All match the bank transaction."
784,2025-08-28,20.0,IDEOGRAM AI,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/ideogram_ai_2025-08-28_20_0.jpg,VERIFIED,100,20.00,Ideogram Al,"The receipt total is $20.00, which matches the bank transaction amount. The receipt date is August 28, 2025, which matches the bank transaction date. The merchant name on the receipt is Ideogram Al, which matches the bank transaction merchant."
782,2025-08-26,9.0,HUGGINGFACE,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/huggingface_2025-08-26_9_0.jpg,VERIFIED,100,9.00,Hugging Face Inc,"The receipt total is $9.00, which matches the bank transaction amount. The merchant name on the receipt is ""Hugging Face Inc"", which reasonably matches the bank transaction merchant ""HUGGINGFACE"". The receipt date is August 25, 2025, which is within 7 days of the bank transaction date of August 26, 2025."
780,2025-08-24,21.95,CLAUDE.AI SUBSCRIPTION,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/claudeai_subscription_2025-08-24_21_95.jpg,VERIFIED,100,21.95,"Anthropic, PBC","The receipt total is $21.95, matching the bank transaction amount. The receipt date is August 23, 2025, which is within 7 days of the bank transaction date of August 24, 2025. The merchant name on the receipt is ""Anthropic, PBC"", which reasonably matches ""CLAUDE.AI SUBSCRIPTION"" since Claude is an Anthropic product."
778,2025-08-16,19.99,DAVINCI AI,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/davinci_ai_2025-08-16_19_99.jpg,VERIFIED,100,19.99,Davinci AI,"The receipt total is $19.99, the date is August 16, 2025, and the merchant is Davinci AI. All match the bank transaction."
775,2025-08-14,10.0,CLOUDFLARE,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/cloudflare_2025-08-14_10_00.jpg,MISMATCH,100,5.00,CLOUDFLARE,"The receipt is from CLOUDFLARE and the merchant name matches. However, the amount is $5.00, while the bank transaction is $10.00. The date on the receipt is January 14, 2025, while the bank transaction date is August 14, 2025. The amount and date do not match."
